category,displayName,settingsName,description,type,value
general,border_size,border_size,size of the border around windows,int,1
general,no_border_on_floating,no_border_on_floating,disable borders for floating windows,bool,false
general,gaps_in,gaps_in,"gaps between windows, also supports css style gaps (top, right, bottom, left -> 5,10,15,20)",int,5
general,gaps_out,gaps_out,"gaps between windows and monitor edges, also supports css style gaps (top, right, bottom, left -> 5,10,15,20)",int,20
general,float_gaps,float_gaps,"gaps between windows and monitor edges for floating windows, also supports css style gaps (top, right, bottom, left -> 5 10 15 20). -1 means default",int,0
general,gaps_workspaces,gaps_workspaces,gaps between workspaces. Stacks with gaps_out.,int,0
general,col.inactive_border,col.inactive_border,border color for inactive windows,gradient,0xff444444
general,col.active_border,col.active_border,border color for the active window,gradient,0xffffffff
general,col.nogroup_border,col.nogroup_border,inactive border color for window that cannot be added to a group (see denywindowfromgroup dispatcher),gradient,0xffffaaff
general,col.nogroup_border_active,col.nogroup_border_active,active border color for window that cannot be added to a group,gradient,0xffff00ff
general,layout,layout,which layout to use. [dwindle/master],str,dwindle
general,no_focus_fallback,no_focus_fallback,"if true, will not fall back to the next available window when moving focus in a direction where no window was found",bool,false
general,resize_on_border,resize_on_border,enables resizing windows by clicking and dragging on borders and gaps,bool,false
general,extend_border_grab_area,extend_border_grab_area,"extends the area around the border where you can click and drag on, only used when general:resize_on_border is on.",int,15
general,hover_icon_on_border,hover_icon_on_border,"show a cursor icon when hovering over borders, only used when general:resize_on_border is on.",bool,true
general,allow_tearing,allow_tearing,master switch for allowing tearing to occur. See the Tearing page.,bool,false
general,resize_corner,resize_corner,"force floating windows to use a specific corner when being resized (1-4 going clockwise from top left, 0 to disable)",int,0
